bucket,variant_name,config_path,score_pct,score,games,wins,draws,losses,vs_sf1500,vs_sf2000,vs_sf2500
mid,stratified_variant_18,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_18.json,75.7,157.5,208,154,7,47,2.0/4,0.0/4,0.0/4
mid,stratified_variant_02,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_02.json,75.0,156.0,208,149,14,45,2.5/4,0.0/4,1.0/4
weak,stratified_variant_27,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_27.json,73.6,153.0,208,148,10,50,3.0/4,0.5/4,0.0/4
weak,stratified_variant_100,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_100.json,65.9,137.0,208,135,4,69,1.0/4,0.0/4,0.0/4
weak,stratified_variant_65,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_65.json,65.6,136.5,208,135,3,70,1.0/4,0.0/4,0.0/4
weak,stratified_variant_64,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_64.json,63.0,131.0,208,130,2,76,0.0/4,0.0/4,0.0/4
weak,stratified_variant_46,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_46.json,59.6,124.0,208,122,4,82,0.0/4,0.0/4,0.0/4
weak,stratified_variant_57,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_57.json,40.1,83.5,208,47,73,88,0.0/4,0.0/4,0.0/4
weak,stratified_variant_70,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_70.json,38.7,80.5,208,43,75,90,0.0/4,0.0/4,0.0/4
weak,stratified_variant_58,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_58.json,38.0,79.0,208,41,76,91,1.0/4,0.0/4,0.0/4
weak,phase1_minimax,/Users/mathieuacher/SANDBOX/chessprogramming-vm/c_engine_pl/variants/phase1_minimax.json,37.3,77.5,208,34,87,87,0.0/4,0.0/4,0.0/4
weak,stratified_variant_97,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_97.json,37.0,77.0,208,33,88,87,0.0/4,0.0/4,0.0/4
weak,stratified_variant_43,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_43.json,36.8,76.5,208,36,81,91,0.0/4,0.0/4,0.0/4
weak,stratified_variant_21,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_21.json,36.5,76.0,208,34,84,90,0.0/4,0.0/4,0.0/4
weak,stratified_variant_60,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_60.json,36.5,76.0,208,32,88,88,0.0/4,0.0/4,0.0/4
weak,stratified_variant_11,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_11.json,36.1,75.0,208,34,82,92,0.0/4,0.0/4,0.0/4
weak,stratified_variant_07,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_07.json,35.6,74.0,208,29,90,89,0.0/4,0.0/4,0.0/4
weak,stratified_variant_52,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_52.json,35.6,74.0,208,26,96,86,0.0/4,0.0/4,0.0/4
weak,stratified_variant_04,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_04.json,35.3,73.5,208,31,85,92,0.0/4,0.0/4,0.0/4
weak,stratified_variant_63,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_63.json,35.3,73.5,208,27,93,88,0.0/4,0.0/4,0.0/4
weak,stratified_variant_29,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_29.json,34.4,71.5,208,30,83,95,0.0/4,0.0/4,0.0/4
weak,stratified_variant_87,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_87.json,34.1,71.0,208,27,88,93,0.0/4,0.0/4,0.0/4
weak,stratified_variant_23,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_23.json,33.4,69.5,208,23,93,92,0.0/4,0.0/4,0.0/4
weak,stratified_variant_45,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_45.json,32.9,68.5,208,27,83,98,0.0/4,0.0/4,0.0/4
weak,stratified_variant_50,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_50.json,32.9,68.5,208,24,89,95,0.0/4,0.0/4,0.0/4
weak,stratified_variant_42,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_42.json,32.9,68.5,208,23,91,94,0.0/4,0.0/4,0.0/4
weak,stratified_variant_69,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_69.json,32.7,68.0,208,27,82,99,0.0/4,0.0/4,0.0/4
weak,stratified_variant_78,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_78.json,32.7,68.0,208,26,84,98,0.0/4,0.0/4,0.0/4
weak,stratified_variant_93,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_93.json,32.0,66.5,208,24,85,99,0.0/4,0.0/4,0.0/4
weak,stratified_variant_59,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_59.json,31.2,65.0,208,22,86,100,0.0/4,0.0/4,0.0/4
weak,stratified_variant_03,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_03.json,26.0,54.0,208,24,60,124,0.0/4,0.0/4,0.0/4
weak,stratified_variant_66,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_66.json,22.8,47.5,208,24,47,137,0.0/4,0.0/4,0.0/4
weak,stratified_variant_39,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_39.json,19.7,41.0,208,20,42,146,0.0/4,0.0/4,0.0/4
weak,stratified_variant_55,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_55.json,9.9,20.5,208,16,9,183,0.0/4,0.0/4,0.0/4
weak,stratified_variant_10,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_10.json,3.4,7.0,208,7,0,201,0.0/4,0.0/4,0.0/4
weak,stratified_variant_17,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_17.json,2.9,6.0,208,6,0,202,0.0/4,0.0/4,0.0/4
weak,stratified_variant_91,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_91.json,2.9,6.0,208,6,0,202,0.0/4,0.0/4,0.0/4
weak,stratified_variant_98,outputs/stratified_variant_experiment_n100_perft6/sample_configs/stratified_variant_98.json,2.4,5.0,208,5,0,203,0.0/4,0.0/4,0.0/4
