variant_name,bucket,score_pct,score,games,wins,draws,losses,board_family,search_tier,eval_tier,perft6_sec,selected_feature_count,source_kind,shallow_score_pct,delta_score_pct,sf2500_score,sf2500_games,sf2500_pct,sf2000_score,sf2000_games,sf2000_pct,sf1500_score,sf1500_games,sf1500_pct
stratified_variant_33,mid,79.1,164.5,208,157,15,36,10x12 Board,pruning_full,rich_eval,1.868,29,random_sample,,,0.5,4,12.5,1.5,4,37.5,2.5,4,62.5
stratified_variant_82,mid,78.1,162.5,208,160,5,43,0x88,minimax,rich_eval,1.546,28,random_sample,,,0.0,4,0.0,0.0,4,0.0,3.0,4,75.0
stratified_variant_18,mid,75.7,157.5,208,154,7,47,Mailbox,minimax,pst_eval,1.557,26,random_sample,,,0.0,4,0.0,0.0,4,0.0,2.0,4,50.0
stratified_variant_02,mid,75.0,156.0,208,149,14,45,Bitboards,pruning_full,structural_eval,3.112,24,random_sample,,,1.0,4,25.0,0.0,4,0.0,2.5,4,62.5
stratified_variant_27,weak,73.6,153.0,208,148,10,50,10x12 Board,pvs_id,rich_eval,1.998,25,random_sample,,,0.0,4,0.0,0.5,4,12.5,3.0,4,75.0
stratified_variant_100,weak,65.9,137.0,208,135,4,69,10x12 Board,negamax,rich_eval,1.492,33,random_sample,,,0.0,4,0.0,0.0,4,0.0,1.0,4,25.0
stratified_variant_65,weak,65.6,136.5,208,135,3,70,0x88,negamax,rich_eval,2.671,28,random_sample,,,0.0,4,0.0,0.0,4,0.0,1.0,4,25.0
stratified_variant_64,weak,63.0,131.0,208,130,2,76,Bitboards,pruning_full,rich_eval,3.004,32,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_46,weak,59.6,124.0,208,122,4,82,Mailbox,negamax,rich_eval,1.746,24,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_57,weak,40.1,83.5,208,47,73,88,Bitboards,minimax,rich_eval,3.174,27,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_70,weak,38.7,80.5,208,43,75,90,Bitboards,negamax,rich_eval,3.271,25,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_58,weak,38.0,79.0,208,41,76,91,Mailbox,pruning_full,rich_eval,1.568,31,random_sample,,,0.0,4,0.0,0.0,4,0.0,1.0,4,25.0
phase1_minimax,weak,37.3,77.5,208,34,87,87,Bitboards,minimax,material_eval,3.47,15,control,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_97,weak,37.0,77.0,208,33,88,87,0x88,negamax,rich_eval,1.744,29,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_43,weak,36.8,76.5,208,36,81,91,10x12 Board,alpha_beta,rich_eval,1.592,25,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_21,weak,36.5,76.0,208,34,84,90,Bitboards,alpha_beta,structural_eval,4.039,27,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_60,weak,36.5,76.0,208,32,88,88,10x12 Board,alpha_beta,rich_eval,1.732,27,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_11,weak,36.1,75.0,208,34,82,92,Mailbox,minimax,rich_eval,1.618,34,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_07,weak,35.6,74.0,208,29,90,89,10x12 Board,minimax,structural_eval,1.917,21,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_52,weak,35.6,74.0,208,26,96,86,10x12 Board,negamax,rich_eval,1.733,28,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_04,weak,35.3,73.5,208,31,85,92,0x88,minimax,pst_eval,1.632,21,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_63,weak,35.3,73.5,208,27,93,88,Mailbox,negamax,rich_eval,1.63,26,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_29,weak,34.4,71.5,208,30,83,95,Mailbox,alpha_beta,structural_eval,2.343,26,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_87,weak,34.1,71.0,208,27,88,93,0x88,pruning_full,rich_eval,1.579,26,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_23,weak,33.4,69.5,208,23,93,92,Mailbox,minimax,material_eval,1.847,21,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_42,weak,32.9,68.5,208,23,91,94,Mailbox,alpha_beta,rich_eval,1.536,29,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_45,weak,32.9,68.5,208,27,83,98,0x88,alpha_beta,rich_eval,1.461,28,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_50,weak,32.9,68.5,208,24,89,95,Mailbox,minimax,structural_eval,1.578,25,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_69,weak,32.7,68.0,208,27,82,99,Bitboards,alpha_beta,rich_eval,3.144,26,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_78,weak,32.7,68.0,208,26,84,98,0x88,alpha_beta,rich_eval,1.885,23,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_93,weak,32.0,66.5,208,24,85,99,10x12 Board,minimax,rich_eval,1.795,27,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_59,weak,31.2,65.0,208,22,86,100,Mailbox,alpha_beta,rich_eval,2.431,25,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_03,weak,26.0,54.0,208,24,60,124,10x12 Board,pruning_full,rich_eval,1.592,28,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_66,weak,22.8,47.5,208,24,47,137,0x88,minimax,rich_eval,1.874,27,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_39,weak,19.7,41.0,208,20,42,146,Mailbox,minimax,rich_eval,2.704,29,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_55,weak,9.9,20.5,208,16,9,183,0x88,pruning_full,rich_eval,1.916,25,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_10,weak,3.4,7.0,208,7,0,201,Bitboards,minimax,structural_eval,25.467,26,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_17,weak,2.9,6.0,208,6,0,202,10x12 Board,alpha_beta,rich_eval,10.966,27,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_91,weak,2.9,6.0,208,6,0,202,Mailbox,alpha_beta,rich_eval,11.702,25,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
stratified_variant_98,weak,2.4,5.0,208,5,0,203,0x88,minimax,rich_eval,2.808,29,random_sample,,,0.0,4,0.0,0.0,4,0.0,0.0,4,0.0
